,episode_rewards,weekly_moving_rewards,monthly_moving_rewards
414,-655069.9164938388,-604713.4854906385,-635947.0535572788
415,-560935.1226220761,-590530.1906381621,-627203.1390586045
416,-877391.8799930676,-634800.0793921507,-636271.1274870372
417,-628907.3267851454,-645809.5226061987,-638497.1575659685
418,-601421.3115566964,-631968.0374832837,-639022.8626095464
419,-619012.0854463415,-633439.9803378785,-636606.8155819682
420,-717952.6422191344,-665812.8978737561,-643122.4195507765
421,-648868.1476476295,-664926.9308957262,-639461.4838630318
422,-565111.6863120274,-665523.5828514334,-641272.075031215
423,-578010.4453787731,-622754.8064779629,-645036.5116052739
424,-443814.45093713206,-596312.9670711039,-642941.823715748
425,-626479.1103611984,-599892.6526146041,-647775.7022941199
426,-581251.6971312657,-594498.3114267362,-647740.693460218
427,-721419.0220766105,-594993.5085492327,-647395.8840714474
428,-699292.2916669715,-602196.957694853,-642938.0138415049
429,-566852.566754739,-602445.6549009547,-639854.9812055348
430,-742698.0019555532,-625972.4486976375,-644375.2202962299
431,-451502.0235840954,-627070.6733614894,-642478.0120812965
432,-761628.6468080705,-646377.7499967569,-635787.5285383511
433,-706708.357079923,-664300.1299894222,-628900.992806502
434,-584428.5419524101,-644730.0614002506,-624191.930487933
435,-645961.8982396637,-637111.4337677781,-626761.8074224248
436,-907485.3165684713,-685773.25516974,-636363.4559539563
437,-572017.6556352394,-661390.3485525523,-634738.1542382241
438,-528611.7386659731,-672406.0221356776,-630351.2726407761
439,-792111.0219035893,-676760.6471493233,-637838.2180803908
440,-488593.9949719338,-645601.4525624675,-635729.9771032283
441,-520340.6541939058,-636446.0400255385,-629797.6086624551
442,-410403.731016501,-602794.8732793723,-623187.4501808659
443,-761956.1214832857,-582004.988267203,-632207.9135813757
444,-615168.9835141196,-588169.4636784716,-630877.8824820517
445,-645283.916991227,-604836.9177249365,-633689.5089610234
446,-563817.036305849,-572223.4912109737,-623237.0141714495
447,-819189.0094426489,-619451.3504210758,-629579.7369266995
448,-566631.6441647254,-626064.3489883357,-628420.0813469671
449,-803629.0631955356,-682239.3964424835,-634573.9806052736
450,-602091.2616680325,-659401.5593260188,-630711.9345869035
451,-536830.9063842735,-648210.4054503264,-626977.359878125
452,-868517.8297112806,-680100.964410334,-637090.8979914335
453,-397659.8996602158,-656364.2306038149,-631079.2131341483
454,-570284.1505518948,-620806.3936194215,-635294.8697879737
455,-537149.0984201273,-616594.6013701932,-632317.2027232713
456,-523532.1117122927,-576580.7511583014,-630393.2165426388
457,-554301.5200050212,-569753.6452064426,-624822.6331402526
458,-439619.24257589586,-555866.2646623886,-616166.8648372166
459,-524220.7233165512,-506680.9637488558,-614745.803389277
460,-618251.6486829444,-538194.0707521028,-610597.5916135233
461,-474321.0668029335,-524485.0587879654,-611358.2263874846
462,-739329.491839059,-553367.9721335272,-610614.9212218509
463,-560930.4126445889,-558710.5865524266,-605755.6564073397
464,-631463.7577332786,-569733.7633707492,-607323.4969333687
465,-512170.8815229373,-580098.2832203265,-602863.7963761445
466,-605938.2725502588,-591772.2188251419,-592812.2282422041
467,-708599.1080234388,-604678.9987309268,-597364.9433218108
468,-777448.3102782943,-647982.8906559783,-605659.4957088882
469,-504176.6850709048,-614389.6325462421,-596061.6844811321
470,-643825.8601539823,-626231.8393332983,-601236.0799872002
471,-754053.5499720265,-643744.6667959765,-609026.509846471
472,-742187.8379633324,-676604.2320017471,-620085.980078032
473,-966380.484537869,-728095.9765714057,-626900.1255131848
474,-591446.8589651351,-711359.9409916481,-626109.3880282188
475,-711586.0864977576,-701951.0518801428,-628319.460345103
476,-657269.8424777859,-723821.5029382686,-631434.5538841677
477,-617145.2672347688,-720009.9896640952,-624699.7624772383
478,-696987.4810774858,-711857.6941077322,-629044.957040997
479,-751858.4700035095,-713239.2129706147,-627319.2706012628
480,-512935.3486568005,-648461.3364161764,-624347.4068342217
481,-375946.61725214747,-617675.5876000354,-618984.5971964841
482,-510742.62422230863,-588983.6644178283,-607058.7570135184
483,-750975.9883225864,-602370.2566813712,-618835.9599689307
